task_count,nfdh,ffdh
500,0.000225328,0.000166542
1000,0.000366223,0.000200088
1500,0.000513204,0.000261049
2000,0.000498659,0.000228
2500,0.000513431,0.000241431
3000,0.000539956,0.000245162
3500,0.000614092,0.00028741
4000,0.000554027,0.000249211
4500,0.000554211,0.000249258
5000,0.00055407,0.000256564
500,0.000281054,0.000110712
1000,0.000486403,0.000233117
1500,0.000678799,0.000501495
2000,0.00086239,0.000451389
2500,0.0010308,0.000509676
3000,0.00113888,0.00067818
3500,0.00125714,0.000768924
4000,0.00138752,0.000841397
4500,0.00149921,0.000884776
5000,0.00159744,0.00096059
