x,y1,y2,y3,y4,y5,y6,y7
0,0.997979,0.993746,0.982371,0.954346,0.890605,0.755977,0.225153
2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.935846
4,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.984493
6,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.996252
8,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999094
10,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999781
12,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.999947
14,1.000000,1.000000,1.000000,1.000000,0.999999,0.999999,0.999987
16,0.999999,0.999999,0.999999,0.999998,0.999998,0.999998,0.999995
18,0.999998,0.999997,0.999996,0.999995,0.999994,0.999993,0.999991
20,0.999996,0.999993,0.999989,0.999985,0.999981,0.999976,0.999971
22,0.999991,0.999983,0.999973,0.999960,0.999944,0.999927,0.999908
24,0.999981,0.999964,0.999937,0.999900,0.999851,0.999791,0.999724
